BillNo,ItemID,Quantity,SellingDate,StudentID,TransactionID,SellingPrice,final_rating
1,140,2,2020-08-11 20:02:14,F0000,1,26,2
1,156,1,2020-08-11 20:02:14,F0000,2,30,3
2,107,1,2020-08-11 20:24:10,F0000,1,10,4
3,140,1,2020-08-11 20:28:08,F0000,1,26,1
4,12,2,2020-08-11 20:29:33,F0000,1,30,2
4,139,1,2020-08-11 20:29:33,F0000,2,21,1
4,107,2,2020-08-11 20:29:33,F0000,3,10,2
5,140,1,2020-08-11 20:30:37,F0000,1,26,1
6,140,1,2020-08-11 20:30:52,F0000,1,26,1
7,134,1,2020-08-11 20:34:02,F0000,1,15,2
8,157,1,2020-08-11 20:36:25,F0000,1,32,3
9,134,1,2020-08-11 20:38:30,F0000,1,15,1
9,140,1,2020-08-11 20:38:30,F0000,2,26,3
9,155,1,2020-08-11 20:38:30,F0000,3,27,5
10,159,1,2020-08-11 20:38:51,F0000,1,20,2
11,140,1,2020-08-11 20:39:23,F0000,1,26,1
12,107,1,2020-08-11 20:42:42,F0000,1,10,5
13,140,1,2020-08-11 20:43:18,F0000,1,26,1
14,134,2,2020-08-11 20:45:00,F0000,1,15,1
15,12,1,2020-08-11 20:46:01,F0000,1,30,4
16,157,1,2020-08-11 20:47:24,F0000,1,32,2
17,155,1,2020-08-11 20:49:45,F0000,1,27,5
17,16,2,2020-08-11 20:49:45,F0000,2,5,2
18,12,1,2020-08-11 20:54:42,F0000,1,30,3
19,12,1,2020-08-11 20:59:16,F0000,1,30,3
20,156,1,2020-08-11 21:00:40,F0000,1,30,4
21,134,1,2020-08-11 21:09:50,F0000,1,15,1
22,15,1,2020-08-11 21:12:58,F0000,1,35,3
22,16,4,2020-08-11 21:12:58,F0000,2,5,5
22,16,1,2020-08-11 21:12:58,F0000,3,5,5
23,12,1,2020-08-11 21:15:04,F0000,1,30,3
24,12,1,2020-08-11 21:15:14,F0000,1,30,4
25,140,1,2020-08-11 21:16:06,F0000,1,26,2
26,12,1,2020-08-11 21:17:11,F0000,1,30,5
27,134,1,2020-08-11 21:29:25,F0000,1,15,2
28,16,2,2020-08-11 21:31:46,F0000,1,5,3
29,155,1,2020-08-11 21:33:48,F0000,1,27,3
30,155,1,2020-08-11 21:34:14,F0000,1,27,4
31,16,4,2020-08-11 21:35:15,F0000,1,5,3
31,157,1,2020-08-11 21:35:15,F0000,2,32,3
32,157,1,2020-08-11 21:35:50,F0000,1,32,3
32,12,1,2020-08-11 21:35:50,F0000,2,30,5
32,156,1,2020-08-11 21:35:50,F0000,3,30,1
33,159,1,2020-08-11 21:36:16,F0000,1,20,2
34,140,1,2020-08-11 21:36:37,F0000,1,26,1
35,157,1,2020-08-11 21:37:25,F0000,1,32,2
36,155,1,2020-08-11 21:38:40,F0000,1,27,3
37,155,1,2020-08-11 21:42:45,F0000,1,27,4
38,134,1,2020-08-11 21:43:11,F0000,1,15,2
39,16,4,2020-08-11 21:46:46,F0000,1,5,1
40,134,1,2020-08-11 21:50:25,F0000,1,15,4
40,16,1,2020-08-11 21:50:25,F0000,2,5,2
1,156,1,2020-08-12 17:51:16,F0000,1,30,4
2,158,7,2020-08-12 18:35:03,F0000,1,14,3
3,15,1,2020-08-12 18:38:00,F0000,1,35,2
3,16,2,2020-08-12 18:38:00,F0000,2,5,5
3,107,2,2020-08-12 18:38:00,F0000,3,10,4
4,156,1,2020-08-12 18:41:04,F0000,1,30,5
5,107,1,2020-08-12 18:56:38,F0000,1,10,5
6,140,1,2020-08-12 19:59:44,F0000,1,26,2
6,130,1,2020-08-12 19:59:44,F0000,2,21,2
6,156,1,2020-08-12 19:59:44,F0000,3,30,4
