ComboId,Old Price,New Combo Price,Item 1,Item 2,Item 3
1,124.0,115.73,Butter Chicken,Butter Naan,PEPSI 600ML
2,120.0,112.0,Butter Naan,KADHAI PANEER,PEPSI 600ML
3,108.0,100.8,Butter Naan,KADHAI PANEER,Plain Maggi
4,114.0,106.4,Butter Naan,KADHAI PANEER,Veg Rice
5,62.0,57.87,Chese Toast,Ice Cream Shake,Plain Maggi
6,122.0,113.87,PULPY ORANGE,Butter Chicken,Butter Naan
7,118.0,110.13,PULPY ORANGE,KADHAI PANEER,Butter Naan
8,115.0,107.33,KADHAI PANEER,Ice Cream Shake,Butter Naan
9,124.0,115.73,Butter Naan,PEPSI 600ML,CHILLI PANEER
10,119.0,111.07,Butter Naan,Ice Cream Shake,CHILLI PANEER
